Dataset,Accuracy on orig test,Mean Accuracy ± Variance,sig_len,hidden_layers
EthanolConcentration,27.4,26.9 ± 0.1,170,1024-512-256-128-64
FaceDetection,51.9,51.9 ± 0.0,5292,512-256-128-64
Handwriting,42.5,42.5 ± 0.0,1364,256-128-64
Heartbeat,72.2,72.0 ± 0.1,488,128-64
JapaneseVowels,84.9,85.0 ± 0.0,297,256-128-64
PEMS-SF,78.0,78.1 ± 0.1,232565,128-64
SelfRegulationSCP1,73.0,73.1 ± 0.1,2800,128-64
SelfRegulationSCP2,51.7,50.8 ± 0.2,585,256-128-64
SpokenArabicDigits,95.1,95.1 ± 0.0,369,512-256-128-64
UWaveGestureLibrary,89.1,89.3 ± 0.0,1364,256-128-64
,66.58,,,
